step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.329,1.659,0.008,0.266
2,,0.324,1.63,0.01,0.262
3,,0.337,1.665,0.013,0.27
4,,0.306,1.632,0.009,0.239
5,,0.337,1.666,0.024,0.268
6,,0.311,1.635,0.008,0.245
7,,0.308,1.649,0.013,0.24
8,,0.299,1.612,0.008,0.232
9,,0.312,1.638,0.019,0.25
10,,0.322,1.638,0.01,0.255
11,,0.343,1.666,0.017,0.273
12,,0.319,1.712,0.017,0.254
13,,0.312,1.73,0.012,0.237
14,,0.357,1.741,0.024,0.281
15,,0.362,1.758,0.013,0.287
16,,0.342,1.76,0.015,0.273
17,,0.39,1.828,0.011,0.302
18,,0.384,1.845,0.009,0.298
19,,0.433,1.852,0.014,0.339
20,,0.413,1.93,0.018,0.316
21,,0.452,1.963,0.01,0.346
22,,0.388,1.971,0.015,0.295
23,,0.427,1.964,0.02,0.324
24,,0.415,2.016,0.009,0.305
25,0.284,0.468,2.03,0.016,0.352
26,,0.441,2.046,0.011,0.33
27,,0.445,2.069,0.013,0.327
28,,0.418,2.088,0.013,0.312
29,,0.43,2.08,0.013,0.32
30,,0.423,2.095,0.008,0.306
31,,0.416,2.08,0.008,0.312
32,,0.436,2.123,0.021,0.327
33,,0.446,2.126,0.011,0.338
34,,0.458,2.14,0.015,0.345
35,,0.464,2.121,0.007,0.349
36,,0.45,2.147,0.016,0.332
37,,0.478,2.187,0.018,0.357
38,,0.463,2.214,0.019,0.344
39,,0.425,2.23,0.015,0.32
40,,0.444,2.2,0.013,0.331
41,,0.458,2.258,0.012,0.345
42,,0.508,2.226,0.016,0.388
43,,0.448,2.291,0.023,0.337
44,,0.508,2.267,0.012,0.388
45,,0.469,2.276,0.014,0.355
46,,0.528,2.338,0.014,0.402
47,,0.446,2.368,0.015,0.33
48,,0.401,2.359,0.007,0.294
49,,0.456,2.397,0.013,0.337
50,0.302,0.445,2.429,0.013,0.33
51,,0.515,2.355,0.011,0.391
52,,0.516,2.444,0.02,0.389
53,,0.457,2.548,0.017,0.345
54,,0.492,2.471,0.017,0.375
55,,0.534,2.496,0.02,0.407
56,,0.46,2.616,0.019,0.332
57,,0.495,2.562,0.022,0.365
58,,0.52,2.511,0.011,0.398
59,,0.473,2.539,0.013,0.352
60,,0.451,2.53,0.015,0.333
61,,0.509,2.536,0.018,0.378
