step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.266,1.659,0.009,0.266
2,,0.262,1.63,0.01,0.262
3,,0.245,1.638,0.012,0.245
4,,0.257,1.654,0.011,0.257
5,,0.271,1.659,0.017,0.271
6,,0.255,1.643,0.01,0.255
7,,0.242,1.634,0.013,0.242
8,,0.225,1.596,0.008,0.225
9,,0.254,1.638,0.02,0.254
10,,0.258,1.691,0.01,0.258
11,,0.249,1.638,0.017,0.249
12,,0.249,1.67,0.015,0.249
13,,0.248,1.682,0.011,0.248
14,,0.279,1.684,0.022,0.279
15,,0.277,1.696,0.012,0.277
16,,0.265,1.71,0.015,0.265
17,,0.273,1.766,0.011,0.273
18,,0.27,1.742,0.009,0.27
19,,0.341,1.779,0.01,0.341
20,,0.274,1.796,0.014,0.274
21,,0.314,1.83,0.009,0.314
22,,0.274,1.848,0.024,0.274
23,,0.295,1.844,0.012,0.295
24,,0.297,1.923,0.013,0.297
25,0.274,0.342,1.936,0.012,0.342
26,,0.324,1.955,0.015,0.324
27,,0.316,1.961,0.019,0.316
28,,0.302,1.991,0.014,0.302
29,,0.306,1.997,0.02,0.306
30,,0.295,2.025,0.009,0.295
31,,0.32,2.029,0.015,0.32
32,,0.326,2.058,0.016,0.326
33,,0.32,2.081,0.012,0.32
34,,0.346,2.11,0.016,0.346
35,,0.342,2.065,0.008,0.342
36,,0.333,2.096,0.012,0.333
37,,0.363,2.117,0.01,0.363
38,,0.342,2.152,0.015,0.342
39,,0.33,2.195,0.011,0.33
40,,0.326,2.188,0.017,0.326
41,,0.351,2.217,0.008,0.351
42,,0.373,2.213,0.011,0.373
43,,0.33,2.291,0.022,0.33
44,,0.391,2.252,0.015,0.391
45,,0.348,2.265,0.017,0.348
46,,0.397,2.306,0.019,0.397
47,,0.323,2.342,0.015,0.323
48,,0.282,2.342,0.014,0.282
49,,0.33,2.308,0.019,0.33
50,0.31,0.317,2.37,0.015,0.317
51,,0.372,2.292,0.008,0.372
52,,0.387,2.347,0.019,0.388
53,,0.341,2.405,0.022,0.341
54,,0.366,2.361,0.022,0.366
55,,0.394,2.367,0.022,0.394
56,,0.342,2.471,0.027,0.342
57,,0.347,2.417,0.023,0.347
58,,0.393,2.382,0.019,0.393
59,,0.35,2.402,0.019,0.35
60,,0.328,2.391,0.019,0.328
61,,0.373,2.35,0.021,0.373
62,,0.394,2.371,0.024,0.394
