step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.329,1.659,0.009,0.266
2,,0.324,1.63,0.01,0.262
3,,0.318,1.656,0.014,0.252
4,,0.345,1.66,0.021,0.274
5,,0.319,1.611,0.022,0.256
6,,0.319,1.629,0.011,0.255
7,,0.322,1.648,0.012,0.254
8,,0.295,1.624,0.01,0.231
9,,0.324,1.634,0.017,0.263
10,,0.314,1.673,0.013,0.247
11,,0.333,1.666,0.02,0.263
12,,0.311,1.695,0.017,0.245
13,,0.322,1.732,0.014,0.245
14,,0.352,1.758,0.022,0.278
15,,0.366,1.755,0.014,0.293
16,,0.353,1.799,0.016,0.279
17,,0.374,1.861,0.009,0.284
18,,0.368,1.816,0.011,0.287
19,,0.427,1.828,0.016,0.335
20,,0.383,1.895,0.022,0.291
21,,0.448,1.941,0.008,0.348
22,,0.388,1.966,0.018,0.298
23,,0.403,1.949,0.016,0.305
24,,0.406,1.994,0.014,0.299
25,0.282,0.469,2.033,0.019,0.353
26,,0.432,2.019,0.015,0.323
27,,0.436,2.02,0.014,0.324
28,,0.436,2.076,0.016,0.33
29,,0.448,2.104,0.019,0.338
30,,0.429,2.091,0.013,0.313
31,,0.438,2.075,0.012,0.33
32,,0.451,2.134,0.024,0.343
33,,0.455,2.18,0.019,0.345
34,,0.47,2.177,0.016,0.355
35,,0.468,2.148,0.011,0.355
36,,0.468,2.173,0.016,0.349
37,,0.499,2.17,0.016,0.377
38,,0.459,2.18,0.012,0.345
39,,0.438,2.207,0.013,0.331
40,,0.457,2.24,0.018,0.344
41,,0.466,2.237,0.008,0.351
42,,0.505,2.26,0.014,0.386
43,,0.447,2.35,0.025,0.337
44,,0.507,2.311,0.013,0.384
45,,0.463,2.312,0.011,0.348
46,,0.531,2.429,0.011,0.402
47,,0.442,2.432,0.015,0.327
48,,0.417,2.488,0.013,0.307
49,,0.451,2.503,0.021,0.333
50,0.318,0.448,2.716,0.016,0.334
51,,0.51,2.414,0.009,0.389
52,,0.509,2.52,0.019,0.383
53,,0.474,2.628,0.023,0.36
54,,0.49,2.495,0.022,0.373
55,,0.511,2.501,0.025,0.388
56,,0.477,2.758,0.024,0.348
57,,0.5,2.562,0.027,0.373
58,,0.529,2.581,0.017,0.407
59,,0.485,2.571,0.014,0.362
60,,0.458,2.706,0.022,0.339
61,,0.514,2.625,0.021,0.384
62,,0.532,2.774,0.031,0.399
63,,0.516,2.878,0.02,0.386
64,,0.45,2.95,0.021,0.33
65,,0.539,2.882,0.022,0.419
66,,0.523,2.892,0.022,0.388
67,,0.476,3.101,0.022,0.355
68,,0.507,2.97,0.031,0.373
69,,0.548,2.962,0.021,0.419
70,,0.5,3.079,0.032,0.377
71,,0.554,3.111,0.032,0.42
72,,0.527,3.342,0.039,0.401
73,,0.527,3.02,0.027,0.397
74,,0.518,3.006,0.019,0.39
75,0.329,0.511,3.157,0.026,0.384
76,,0.537,3.037,0.02,0.402
77,,0.477,3.175,0.026,0.356
78,,0.496,3.118,0.029,0.367
79,,0.536,3.178,0.028,0.412
80,,0.45,3.172,0.035,0.322
81,,0.534,3.116,0.036,0.404
82,,0.58,2.866,0.023,0.439
83,,0.49,3.042,0.029,0.36
84,,0.475,2.888,0.027,0.349
85,,0.533,2.992,0.031,0.401
86,,0.51,2.892,0.026,0.385
87,,0.494,2.989,0.04,0.368
88,,0.527,2.879,0.027,0.395
89,,0.522,2.987,0.04,0.391
90,,0.521,3.056,0.028,0.388
91,,0.502,2.934,0.034,0.379
92,,0.506,2.984,0.031,0.379
93,,0.549,2.965,0.032,0.413
94,,0.474,2.97,0.039,0.348
95,,0.521,3.073,0.031,0.397
96,,0.541,3.013,0.032,0.407
97,,0.591,2.659,0.028,0.453
98,,0.471,2.93,0.039,0.338
99,,0.557,2.923,0.023,0.426
100,0.324,0.5,3.034,0.043,0.373
101,,0.523,3.077,0.023,0.387
102,,0.52,3.209,0.023,0.388
103,,0.497,3.239,0.027,0.371
104,,0.551,3.128,0.035,0.419
105,,0.524,3.309,0.024,0.395
106,,0.489,3.116,0.032,0.364
107,,0.548,3.176,0.021,0.416
108,,0.549,3.29,0.031,0.413
109,,0.568,3.025,0.016,0.435
110,,0.523,3.213,0.029,0.393
111,,0.536,3.246,0.027,0.395
112,,0.556,3.119,0.018,0.42
113,,0.536,3.313,0.025,0.391
114,,0.458,3.458,0.025,0.329
115,,0.528,3.477,0.03,0.398
116,,0.494,3.648,0.024,0.368
117,,0.535,3.553,0.023,0.398
118,,0.515,4.211,0.025,0.388
119,,0.496,4.079,0.03,0.364
120,,0.542,3.969,0.021,0.398
121,,0.487,4.081,0.029,0.358
122,,0.482,4.073,0.018,0.348
123,,0.529,4.341,0.019,0.396
124,,0.462,4.254,0.019,0.329
125,0.325,0.519,4.501,0.012,0.38
126,,0.515,4.506,0.015,0.377
127,,0.542,4.463,0.019,0.402
128,,0.564,4.352,0.015,0.415
129,,0.509,4.92,0.019,0.373
130,,0.601,4.414,0.009,0.459
131,,0.547,4.521,0.015,0.405
132,,0.512,4.546,0.019,0.377
133,,0.553,4.486,0.02,0.405
134,,0.544,4.384,0.012,0.398
135,,0.512,4.479,0.013,0.374
136,,0.547,4.184,0.015,0.412
137,,0.493,4.133,0.019,0.355
138,,0.545,4.17,0.017,0.402
139,,0.529,3.944,0.013,0.39
140,,0.522,4.114,0.013,0.388
141,,0.602,3.854,0.014,0.459
142,,0.543,4.065,0.012,0.402
143,,0.587,3.96,0.017,0.438
144,,0.552,3.78,0.017,0.409
145,,0.561,3.847,0.013,0.413
146,,0.494,4.186,0.017,0.355
147,,0.576,3.976,0.017,0.434
148,,0.552,3.93,0.018,0.408
149,,0.563,3.831,0.017,0.426
150,0.339,0.607,3.784,0.015,0.455
151,,0.541,3.612,0.021,0.405
152,,0.507,3.611,0.018,0.377
153,,0.579,3.63,0.023,0.442
154,,0.565,3.471,0.024,0.42
155,,0.526,3.637,0.023,0.399
156,,0.555,3.687,0.024,0.42
157,,0.575,3.776,0.02,0.428
158,,0.603,3.726,0.036,0.456
159,,0.505,3.884,0.026,0.368
160,,0.483,3.97,0.031,0.36
161,,0.564,3.664,0.03,0.423
162,,0.537,3.828,0.031,0.402
163,,0.563,3.63,0.032,0.421
164,,0.558,3.755,0.034,0.413
165,,0.589,3.625,0.034,0.445
166,,0.518,3.91,0.027,0.389
167,,0.544,3.702,0.027,0.397
168,,0.554,3.913,0.035,0.414
169,,0.547,3.833,0.032,0.408
170,,0.569,3.626,0.029,0.422
171,,0.558,3.834,0.035,0.424
172,,0.508,3.912,0.031,0.377
173,,0.55,3.696,0.029,0.415
174,,0.54,3.761,0.029,0.4
175,0.345,0.522,3.653,0.031,0.383
176,,0.487,3.705,0.024,0.349
177,,0.523,3.647,0.021,0.381
178,,0.526,3.604,0.018,0.388
179,,0.554,3.765,0.028,0.408
180,,0.51,3.659,0.022,0.377
181,,0.619,3.625,0.028,0.47
182,,0.505,3.672,0.026,0.373
183,,0.532,3.744,0.034,0.397
184,,0.611,3.659,0.027,0.461
185,,0.539,3.905,0.034,0.399
186,,0.567,3.698,0.024,0.43
187,,0.557,3.889,0.031,0.418
188,,0.56,3.828,0.036,0.418
189,,0.549,3.812,0.03,0.405
190,,0.615,3.926,0.026,0.465
191,,0.595,3.856,0.028,0.447
192,,0.521,3.848,0.027,0.387
193,,0.554,3.677,0.021,0.415
194,,0.55,3.791,0.027,0.408
195,,0.551,3.874,0.021,0.42
196,,0.546,3.903,0.02,0.411
197,,0.572,3.783,0.033,0.438
198,,0.578,3.87,0.023,0.439
199,,0.53,3.695,0.023,0.388
200,0.362,0.501,3.551,0.021,0.362
201,,0.548,3.516,0.022,0.405
202,,0.479,3.713,0.028,0.343
203,,0.517,3.791,0.028,0.373
204,,0.557,3.654,0.019,0.41
205,,0.53,3.806,0.031,0.4
206,,0.612,3.677,0.025,0.464
207,,0.505,3.884,0.033,0.371
208,,0.567,3.513,0.029,0.423
