step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.329,1.659,0.008,0.266
2,,0.324,1.63,0.011,0.262
3,,0.33,1.672,0.011,0.262
4,,0.318,1.664,0.014,0.249
5,,0.345,1.661,0.021,0.274
6,,0.313,1.604,0.008,0.252
7,,0.307,1.627,0.009,0.243
8,,0.307,1.604,0.011,0.244
9,,0.295,1.583,0.014,0.24
10,,0.309,1.639,0.014,0.244
11,,0.319,1.661,0.026,0.252
12,,0.33,1.695,0.008,0.264
13,,0.33,1.738,0.013,0.252
14,,0.348,1.722,0.014,0.275
15,,0.348,1.747,0.014,0.273
16,,0.363,1.76,0.017,0.292
17,,0.367,1.81,0.012,0.28
18,,0.375,1.813,0.008,0.291
19,,0.428,1.825,0.013,0.338
20,,0.403,1.893,0.018,0.309
21,,0.453,1.939,0.013,0.352
22,,0.395,1.966,0.021,0.302
23,,0.406,1.977,0.016,0.302
24,,0.443,2.004,0.008,0.334
25,0.287,0.463,2.035,0.018,0.348
26,,0.439,2.049,0.014,0.328
27,,0.445,2.021,0.013,0.331
28,,0.426,2.101,0.015,0.318
29,,0.444,2.091,0.017,0.332
30,,0.43,2.124,0.017,0.31
31,,0.429,2.102,0.009,0.321
32,,0.429,2.134,0.023,0.323
33,,0.443,2.145,0.014,0.337
34,,0.475,2.148,0.012,0.359
35,,0.459,2.145,0.005,0.344
36,,0.458,2.168,0.013,0.337
37,,0.481,2.158,0.013,0.362
38,,0.452,2.204,0.017,0.337
39,,0.438,2.226,0.013,0.332
40,,0.449,2.208,0.014,0.336
41,,0.455,2.263,0.008,0.34
42,,0.498,2.233,0.015,0.377
43,,0.464,2.306,0.025,0.351
44,,0.51,2.284,0.012,0.389
45,,0.468,2.32,0.015,0.353
46,,0.531,2.334,0.017,0.404
47,,0.437,2.332,0.012,0.32
48,,0.417,2.331,0.012,0.307
49,,0.455,2.327,0.015,0.337
50,0.315,0.449,2.415,0.014,0.335
51,,0.498,2.337,0.013,0.377
52,,0.51,2.395,0.014,0.384
53,,0.454,2.458,0.014,0.342
54,,0.484,2.37,0.016,0.367
55,,0.511,2.359,0.02,0.387
56,,0.456,2.434,0.015,0.334
57,,0.501,2.425,0.018,0.374
58,,0.526,2.397,0.012,0.402
59,,0.466,2.459,0.017,0.348
60,,0.445,2.46,0.019,0.327
61,,0.496,2.459,0.023,0.367
62,,0.517,2.461,0.024,0.384
63,,0.507,2.502,0.017,0.38
64,,0.465,2.478,0.031,0.347
65,,0.522,2.473,0.022,0.401
66,,0.513,2.365,0.024,0.384
67,,0.451,2.52,0.023,0.337
68,,0.502,2.499,0.023,0.369
69,,0.548,2.438,0.024,0.421
70,,0.513,2.526,0.028,0.391
71,,0.547,2.494,0.027,0.416
72,,0.51,2.51,0.038,0.391
73,,0.5,2.47,0.018,0.376
74,,0.496,2.466,0.023,0.373
75,0.313,0.502,2.533,0.027,0.38
76,,0.516,2.472,0.019,0.387
77,,0.479,2.559,0.028,0.361
78,,0.488,2.467,0.02,0.365
79,,0.489,2.486,0.026,0.371
80,,0.455,2.509,0.021,0.33
81,,0.519,2.523,0.03,0.394
82,,0.577,2.495,0.023,0.438
83,,0.498,2.573,0.021,0.368
84,,0.461,2.546,0.028,0.339
85,,0.516,2.62,0.03,0.385
86,,0.485,2.541,0.026,0.363
87,,0.478,2.589,0.022,0.352
88,,0.523,2.513,0.018,0.391
89,,0.498,2.565,0.021,0.37
90,,0.51,2.593,0.015,0.382
91,,0.493,2.563,0.021,0.37
92,,0.503,2.529,0.018,0.377
93,,0.531,2.501,0.019,0.4
94,,0.46,2.555,0.019,0.334
95,,0.511,2.615,0.025,0.39
96,,0.51,2.57,0.019,0.377
97,,0.587,2.441,0.017,0.449
98,,0.474,2.599,0.023,0.342
99,,0.539,2.521,0.015,0.41
100,0.33,0.473,2.566,0.023,0.349
101,,0.513,2.505,0.012,0.377
102,,0.507,2.664,0.016,0.378
103,,0.483,2.627,0.016,0.36
104,,0.527,2.582,0.018,0.398
105,,0.504,2.666,0.013,0.38
106,,0.485,2.617,0.017,0.359
107,,0.541,2.616,0.012,0.411
108,,0.543,2.669,0.017,0.411
109,,0.559,2.572,0.009,0.429
110,,0.517,2.56,0.015,0.392
111,,0.528,2.519,0.012,0.392
112,,0.558,2.516,0.012,0.424
113,,0.535,2.513,0.01,0.396
114,,0.476,2.551,0.008,0.352
115,,0.522,2.505,0.015,0.397
116,,0.492,2.567,0.016,0.373
117,,0.546,2.505,0.009,0.413
118,,0.508,2.562,0.009,0.392
119,,0.503,2.563,0.016,0.378
120,,0.523,2.57,0.01,0.388
121,,0.491,2.612,0.013,0.37
122,,0.473,2.571,0.008,0.348
123,,0.517,2.728,0.013,0.395
124,,0.47,2.612,0.006,0.344
125,0.334,0.498,2.651,0.012,0.369
126,,0.518,2.63,0.007,0.389
127,,0.549,2.634,0.007,0.413
128,,0.567,2.507,0.006,0.43
129,,0.511,2.66,0.007,0.384
130,,0.597,2.615,0.005,0.464
131,,0.547,2.633,0.01,0.412
132,,0.503,2.605,0.007,0.377
133,,0.547,2.575,0.011,0.405
134,,0.551,2.596,0.005,0.414
135,,0.508,2.684,0.009,0.381
136,,0.564,2.646,0.009,0.432
137,,0.503,2.715,0.005,0.368
138,,0.523,2.692,0.009,0.384
139,,0.538,2.598,0.008,0.401
140,,0.514,2.684,0.009,0.386
141,,0.584,2.505,0.009,0.446
142,,0.525,2.57,0.006,0.393
143,,0.614,2.525,0.009,0.466
144,,0.532,2.504,0.006,0.397
145,,0.549,2.545,0.007,0.409
146,,0.506,2.645,0.009,0.369
147,,0.566,2.641,0.007,0.432
148,,0.543,2.559,0.009,0.406
149,,0.563,2.547,0.005,0.431
150,0.342,0.593,2.573,0.008,0.447
151,,0.527,2.547,0.01,0.396
152,,0.482,2.623,0.007,0.357
153,,0.573,2.666,0.006,0.441
154,,0.555,2.709,0.009,0.413
155,,0.508,2.684,0.004,0.383
156,,0.554,2.734,0.005,0.42
157,,0.588,2.648,0.004,0.445
158,,0.597,2.574,0.005,0.459
159,,0.486,2.629,0.007,0.353
160,,0.461,2.646,0.01,0.343
161,,0.576,2.61,0.007,0.439
162,,0.51,2.639,0.009,0.38
163,,0.535,2.651,0.005,0.399
164,,0.564,2.604,0.007,0.426
165,,0.585,2.616,0.006,0.446
166,,0.522,2.651,0.006,0.397
167,,0.543,2.57,0.005,0.403
168,,0.566,2.641,0.006,0.432
169,,0.572,2.597,0.005,0.433
170,,0.564,2.628,0.005,0.419
171,,0.556,2.613,0.004,0.426
172,,0.499,2.645,0.006,0.373
173,,0.536,2.641,0.005,0.407
174,,0.539,2.686,0.004,0.405
175,0.337,0.521,2.72,0.004,0.381
176,,0.485,2.692,0.004,0.352
177,,0.513,2.836,0.004,0.376
178,,0.509,2.819,0.005,0.378
179,,0.556,2.796,0.002,0.416
180,,0.496,2.791,0.004,0.368
181,,0.615,2.748,0.003,0.471
182,,0.517,2.787,0.002,0.385
183,,0.534,2.858,0.006,0.403
184,,0.613,2.807,0.006,0.465
185,,0.538,2.945,0.004,0.402
186,,0.583,2.84,0.002,0.449
187,,0.553,2.93,0.003,0.417
188,,0.55,2.992,0.003,0.41
189,,0.541,3.023,0.004,0.404
190,,0.613,3.084,0.004,0.466
191,,0.606,3.084,0.005,0.457
192,,0.495,3.082,0.004,0.364
193,,0.557,3.128,0.003,0.415
194,,0.541,3.127,0.002,0.402
195,,0.53,3.035,0.002,0.401
196,,0.552,2.981,0.003,0.419
197,,0.58,3.062,0.005,0.445
198,,0.56,2.991,0.002,0.423
199,,0.554,3.034,0.0,0.416
200,0.336,0.502,3.027,0.002,0.364
201,,0.556,2.971,0.005,0.414
202,,0.484,3.015,0.004,0.353
203,,0.52,2.952,0.004,0.377
204,,0.554,2.86,0.002,0.409
205,,0.526,2.941,0.004,0.395
206,,0.604,2.806,0.003,0.456
