step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.329,1.659,0.008,0.266
2,,0.324,1.63,0.01,0.262
3,,0.337,1.665,0.013,0.27
4,,0.306,1.632,0.009,0.239
5,,0.337,1.666,0.024,0.268
6,,0.311,1.635,0.008,0.245
7,,0.308,1.649,0.013,0.24
8,,0.299,1.612,0.008,0.232
9,,0.312,1.638,0.019,0.25
10,,0.322,1.638,0.01,0.255
11,,0.343,1.666,0.017,0.273
12,,0.319,1.712,0.017,0.254
13,,0.312,1.73,0.012,0.237
14,,0.357,1.741,0.024,0.281
15,,0.362,1.758,0.013,0.287
16,,0.342,1.76,0.015,0.273
17,,0.39,1.828,0.011,0.302
18,,0.384,1.845,0.009,0.298
19,,0.433,1.852,0.014,0.339
20,,0.413,1.93,0.018,0.316
21,,0.452,1.963,0.01,0.346
22,,0.388,1.971,0.015,0.295
23,,0.427,1.964,0.02,0.324
24,,0.415,2.016,0.009,0.305
25,0.284,0.468,2.03,0.016,0.352
26,,0.441,2.046,0.011,0.33
27,,0.445,2.069,0.013,0.327
28,,0.418,2.088,0.013,0.312
29,,0.43,2.08,0.013,0.32
30,,0.423,2.095,0.008,0.306
31,,0.416,2.08,0.008,0.312
32,,0.436,2.123,0.021,0.327
33,,0.446,2.126,0.011,0.338
34,,0.458,2.14,0.015,0.345
35,,0.464,2.121,0.007,0.349
36,,0.45,2.147,0.016,0.332
37,,0.478,2.187,0.018,0.357
38,,0.463,2.214,0.019,0.344
39,,0.425,2.23,0.015,0.32
40,,0.444,2.2,0.013,0.331
41,,0.458,2.258,0.012,0.345
42,,0.508,2.226,0.016,0.388
43,,0.448,2.291,0.023,0.337
44,,0.508,2.267,0.012,0.388
45,,0.469,2.276,0.014,0.355
46,,0.528,2.338,0.014,0.402
47,,0.446,2.368,0.015,0.33
48,,0.401,2.359,0.007,0.294
49,,0.456,2.397,0.013,0.337
50,0.302,0.445,2.429,0.013,0.33
51,,0.515,2.355,0.011,0.391
52,,0.516,2.444,0.02,0.389
53,,0.457,2.548,0.017,0.345
54,,0.492,2.471,0.017,0.375
55,,0.534,2.496,0.02,0.407
56,,0.46,2.616,0.019,0.332
57,,0.495,2.562,0.022,0.365
58,,0.52,2.511,0.011,0.398
59,,0.473,2.539,0.013,0.352
60,,0.451,2.53,0.015,0.333
61,,0.509,2.536,0.018,0.378
62,,0.525,2.63,0.019,0.391
63,,0.501,2.755,0.017,0.371
64,,0.441,2.886,0.021,0.32
65,,0.523,2.758,0.016,0.403
66,,0.511,2.646,0.014,0.378
67,,0.468,2.764,0.022,0.348
68,,0.476,2.764,0.03,0.343
69,,0.537,2.665,0.016,0.409
70,,0.494,2.802,0.019,0.373
71,,0.553,2.778,0.019,0.419
72,,0.519,2.851,0.025,0.395
73,,0.486,2.798,0.014,0.357
74,,0.495,2.787,0.022,0.37
75,0.305,0.5,2.843,0.022,0.373
76,,0.518,2.852,0.013,0.385
77,,0.45,2.928,0.018,0.33
78,,0.491,2.902,0.018,0.364
79,,0.501,2.806,0.02,0.38
80,,0.453,2.772,0.014,0.323
81,,0.532,2.75,0.02,0.403
82,,0.56,2.725,0.018,0.423
83,,0.487,2.827,0.018,0.355
84,,0.485,2.816,0.023,0.358
85,,0.525,2.824,0.022,0.393
86,,0.483,2.857,0.02,0.362
87,,0.475,2.903,0.028,0.348
88,,0.542,2.804,0.018,0.408
89,,0.517,2.915,0.025,0.385
90,,0.516,2.926,0.03,0.386
91,,0.496,2.95,0.027,0.37
92,,0.522,2.973,0.023,0.391
93,,0.535,2.942,0.022,0.399
94,,0.445,2.99,0.025,0.317
95,,0.529,2.983,0.027,0.405
96,,0.516,2.988,0.026,0.38
97,,0.579,2.93,0.025,0.439
98,,0.451,3.084,0.028,0.318
99,,0.536,3.145,0.021,0.402
100,0.318,0.495,3.037,0.028,0.364
101,,0.504,3.128,0.027,0.366
102,,0.532,3.213,0.022,0.399
103,,0.505,3.206,0.032,0.376
104,,0.523,3.156,0.03,0.392
105,,0.509,3.195,0.021,0.38
106,,0.479,3.24,0.029,0.354
107,,0.537,3.194,0.023,0.4
108,,0.544,3.234,0.034,0.408
109,,0.543,3.269,0.027,0.409
110,,0.513,3.267,0.028,0.383
111,,0.526,3.257,0.029,0.383
112,,0.553,3.248,0.025,0.414
113,,0.533,3.159,0.028,0.39
114,,0.45,3.234,0.024,0.325
115,,0.511,3.225,0.026,0.385
116,,0.484,3.308,0.027,0.362
117,,0.525,3.302,0.022,0.39
118,,0.502,3.332,0.025,0.379
119,,0.489,3.203,0.028,0.363
120,,0.535,3.22,0.022,0.394
121,,0.484,3.299,0.025,0.358
122,,0.484,3.211,0.021,0.36
123,,0.493,3.289,0.028,0.37
124,,0.467,3.296,0.025,0.335
125,0.325,0.49,3.302,0.021,0.36
126,,0.511,3.247,0.018,0.38
127,,0.545,3.343,0.022,0.411
128,,0.557,3.255,0.019,0.416
129,,0.514,3.338,0.028,0.384
130,,0.592,3.293,0.013,0.46
131,,0.538,3.237,0.016,0.404
132,,0.505,3.267,0.024,0.378
133,,0.564,3.264,0.021,0.42
134,,0.558,3.291,0.018,0.42
135,,0.516,3.343,0.024,0.387
136,,0.564,3.391,0.022,0.431
137,,0.492,3.426,0.024,0.358
138,,0.518,3.326,0.027,0.38
139,,0.516,3.28,0.021,0.38
140,,0.5,3.295,0.023,0.371
141,,0.59,3.259,0.022,0.449
142,,0.526,3.294,0.021,0.39
143,,0.597,3.286,0.022,0.452
144,,0.529,3.284,0.019,0.394
145,,0.56,3.265,0.018,0.417
146,,0.516,3.318,0.018,0.38
147,,0.581,3.277,0.02,0.441
148,,0.53,3.219,0.021,0.393
149,,0.55,3.209,0.019,0.418
150,0.327,0.611,3.224,0.016,0.465
151,,0.518,3.244,0.021,0.387
152,,0.498,3.33,0.015,0.37
153,,0.57,3.227,0.018,0.434
154,,0.544,3.293,0.019,0.404
155,,0.523,3.282,0.02,0.395
156,,0.556,3.302,0.021,0.424
157,,0.56,3.24,0.019,0.421
158,,0.574,3.258,0.02,0.434
159,,0.505,3.243,0.023,0.373
160,,0.452,3.28,0.028,0.336
161,,0.548,3.232,0.023,0.412
162,,0.529,3.255,0.018,0.396
163,,0.526,3.262,0.026,0.395
164,,0.53,3.241,0.02,0.395
165,,0.572,3.255,0.022,0.433
166,,0.494,3.334,0.02,0.37
167,,0.533,3.273,0.021,0.389
168,,0.545,3.298,0.025,0.405
169,,0.549,3.291,0.018,0.41
170,,0.539,3.309,0.025,0.397
171,,0.551,3.276,0.021,0.422
172,,0.509,3.284,0.02,0.383
173,,0.517,3.298,0.024,0.387
174,,0.539,3.323,0.018,0.399
175,0.318,0.529,3.323,0.023,0.394
176,,0.482,3.397,0.019,0.348
177,,0.526,3.359,0.028,0.387
178,,0.508,3.334,0.031,0.374
179,,0.527,3.369,0.023,0.384
180,,0.493,3.403,0.025,0.364
181,,0.577,3.351,0.028,0.435
182,,0.504,3.384,0.026,0.375
183,,0.5,3.391,0.047,0.373
184,,0.582,3.373,0.036,0.44
185,,0.526,3.309,0.03,0.393
186,,0.553,3.277,0.022,0.419
187,,0.544,3.323,0.035,0.412
188,,0.564,3.323,0.038,0.423
189,,0.552,3.333,0.038,0.412
190,,0.596,3.404,0.039,0.449
191,,0.579,3.302,0.029,0.436
192,,0.496,3.352,0.036,0.367
193,,0.538,3.33,0.038,0.402
194,,0.528,3.322,0.037,0.393
195,,0.527,3.324,0.026,0.399
196,,0.549,3.37,0.023,0.412
197,,0.54,3.4,0.037,0.408
198,,0.53,3.381,0.022,0.4
199,,0.518,3.385,0.027,0.381
200,0.331,0.491,3.359,0.028,0.359
201,,0.533,3.332,0.025,0.397
202,,0.477,3.388,0.028,0.346
203,,0.501,3.358,0.029,0.363
204,,0.526,3.233,0.022,0.386
205,,0.496,3.297,0.027,0.366
206,,0.593,3.265,0.02,0.452
