step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.266,1.659,0.008,0.266
2,,0.262,1.63,0.01,0.262
3,,0.249,1.668,0.014,0.249
4,,0.246,1.652,0.009,0.246
5,,0.273,1.675,0.021,0.273
6,,0.261,1.617,0.012,0.261
7,,0.25,1.626,0.008,0.25
8,,0.218,1.604,0.01,0.218
9,,0.255,1.627,0.02,0.255
10,,0.242,1.631,0.011,0.242
11,,0.273,1.64,0.018,0.273
12,,0.251,1.68,0.012,0.251
13,,0.243,1.698,0.011,0.243
14,,0.287,1.684,0.014,0.287
15,,0.268,1.698,0.014,0.268
16,,0.277,1.697,0.017,0.277
17,,0.27,1.763,0.015,0.27
18,,0.285,1.69,0.008,0.285
19,,0.333,1.744,0.014,0.333
20,,0.275,1.776,0.014,0.275
21,,0.333,1.844,0.013,0.333
22,,0.273,1.859,0.016,0.273
23,,0.3,1.866,0.014,0.3
24,,0.307,1.938,0.008,0.307
25,0.288,0.349,1.951,0.011,0.349
26,,0.32,1.966,0.007,0.32
27,,0.318,2.007,0.013,0.318
28,,0.319,2.023,0.011,0.319
29,,0.33,2.058,0.014,0.33
30,,0.295,2.066,0.008,0.295
31,,0.328,2.066,0.007,0.328
32,,0.335,2.076,0.013,0.335
33,,0.337,2.087,0.007,0.337
34,,0.363,2.118,0.005,0.362
35,,0.348,2.109,0.006,0.348
36,,0.34,2.112,0.009,0.34
37,,0.358,2.103,0.004,0.358
38,,0.34,2.147,0.009,0.34
39,,0.318,2.172,0.005,0.318
40,,0.348,2.156,0.004,0.348
41,,0.355,2.194,0.004,0.355
42,,0.386,2.166,0.004,0.386
43,,0.337,2.219,0.011,0.337
44,,0.395,2.173,0.004,0.395
45,,0.346,2.184,0.005,0.346
46,,0.4,2.245,0.005,0.4
47,,0.322,2.248,0.002,0.322
48,,0.316,2.284,0.001,0.316
49,,0.341,2.269,0.004,0.341
50,0.308,0.339,2.342,0.002,0.339
51,,0.38,2.267,0.004,0.38
52,,0.398,2.331,0.003,0.398
53,,0.34,2.374,0.003,0.34
54,,0.381,2.286,0.005,0.381
55,,0.389,2.286,0.003,0.389
56,,0.338,2.405,0.004,0.338
57,,0.377,2.333,0.005,0.377
58,,0.412,2.305,0.002,0.412
59,,0.361,2.351,0.003,0.361
60,,0.335,2.343,0.004,0.335
61,,0.377,2.327,0.003,0.377
