step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.266,1.659,0.008,0.266
2,,0.262,1.63,0.01,0.262
3,,0.257,1.671,0.016,0.257
4,,0.241,1.652,0.012,0.241
5,,0.258,1.633,0.02,0.258
6,,0.248,1.598,0.01,0.248
7,,0.259,1.64,0.009,0.259
8,,0.242,1.653,0.013,0.242
9,,0.252,1.617,0.02,0.252
10,,0.258,1.663,0.021,0.258
11,,0.262,1.673,0.02,0.262
12,,0.255,1.698,0.013,0.255
13,,0.252,1.714,0.013,0.252
14,,0.305,1.745,0.022,0.305
15,,0.28,1.77,0.016,0.28
16,,0.269,1.771,0.015,0.269
17,,0.303,1.825,0.011,0.303
18,,0.288,1.804,0.013,0.288
19,,0.36,1.856,0.01,0.36
20,,0.317,1.913,0.026,0.317
21,,0.337,1.942,0.014,0.337
22,,0.304,1.984,0.024,0.304
23,,0.311,1.97,0.023,0.311
24,,0.323,1.999,0.015,0.323
25,0.289,0.356,2.026,0.016,0.356
26,,0.324,2.057,0.017,0.324
27,,0.333,2.037,0.014,0.333
28,,0.298,2.095,0.02,0.298
29,,0.33,2.081,0.016,0.33
30,,0.302,2.08,0.018,0.302
31,,0.327,2.088,0.017,0.327
32,,0.329,2.119,0.027,0.329
33,,0.33,2.141,0.021,0.33
34,,0.366,2.154,0.021,0.366
35,,0.347,2.13,0.018,0.347
36,,0.339,2.173,0.02,0.339
37,,0.355,2.127,0.021,0.355
38,,0.336,2.183,0.023,0.336
39,,0.339,2.243,0.023,0.339
40,,0.329,2.218,0.028,0.329
41,,0.351,2.255,0.022,0.351
42,,0.383,2.237,0.034,0.383
43,,0.335,2.312,0.045,0.335
44,,0.4,2.303,0.03,0.4
45,,0.337,2.324,0.03,0.337
46,,0.392,2.369,0.042,0.392
47,,0.324,2.38,0.034,0.324
48,,0.298,2.415,0.033,0.298
49,,0.327,2.366,0.031,0.327
50,0.303,0.338,2.464,0.04,0.338
51,,0.387,2.338,0.043,0.387
52,,0.404,2.398,0.048,0.404
53,,0.343,2.454,0.046,0.343
54,,0.382,2.389,0.061,0.382
55,,0.39,2.345,0.047,0.39
56,,0.327,2.51,0.053,0.327
57,,0.355,2.449,0.05,0.355
58,,0.405,2.419,0.04,0.405
59,,0.368,2.466,0.047,0.368
60,,0.345,2.478,0.039,0.345
61,,0.374,2.475,0.054,0.374
