step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.266,1.659,0.009,0.266
2,,0.262,1.63,0.011,0.262
3,,0.243,1.631,0.008,0.243
4,,0.255,1.676,0.01,0.255
5,,0.256,1.645,0.017,0.256
6,,0.256,1.625,0.011,0.256
7,,0.246,1.652,0.011,0.246
8,,0.243,1.607,0.013,0.243
9,,0.247,1.625,0.019,0.247
10,,0.265,1.625,0.014,0.265
11,,0.247,1.631,0.018,0.247
12,,0.244,1.645,0.011,0.244
13,,0.237,1.689,0.015,0.237
14,,0.272,1.661,0.022,0.272
15,,0.271,1.666,0.013,0.271
16,,0.262,1.659,0.019,0.263
17,,0.27,1.723,0.015,0.27
18,,0.264,1.668,0.011,0.264
19,,0.306,1.72,0.012,0.306
20,,0.274,1.741,0.014,0.274
21,,0.32,1.807,0.009,0.32
22,,0.263,1.825,0.012,0.263
23,,0.286,1.83,0.01,0.286
24,,0.295,1.898,0.006,0.295
25,0.284,0.345,1.917,0.016,0.345
26,,0.311,1.961,0.009,0.311
27,,0.312,1.944,0.006,0.312
28,,0.3,2.004,0.01,0.3
29,,0.321,1.985,0.011,0.321
30,,0.288,2.02,0.008,0.288
31,,0.316,2.009,0.003,0.316
32,,0.341,2.045,0.014,0.341
33,,0.331,2.065,0.004,0.331
34,,0.333,2.062,0.006,0.333
35,,0.33,2.045,0.005,0.33
36,,0.33,2.052,0.006,0.33
37,,0.357,2.112,0.005,0.357
38,,0.341,2.124,0.003,0.341
39,,0.316,2.145,0.005,0.316
40,,0.338,2.134,0.004,0.338
41,,0.349,2.137,0.002,0.349
42,,0.373,2.136,0.002,0.373
43,,0.335,2.176,0.01,0.335
44,,0.38,2.166,0.003,0.38
45,,0.348,2.205,0.003,0.348
46,,0.391,2.208,0.001,0.391
47,,0.313,2.216,0.001,0.313
48,,0.297,2.233,0.002,0.297
49,,0.325,2.263,0.003,0.325
50,0.315,0.335,2.337,0.001,0.335
51,,0.371,2.262,0.001,0.371
52,,0.387,2.352,0.002,0.387
53,,0.352,2.461,0.002,0.352
54,,0.377,2.4,0.003,0.377
55,,0.405,2.382,0.005,0.405
56,,0.327,2.541,0.002,0.327
57,,0.363,2.476,0.004,0.363
58,,0.412,2.432,0.002,0.412
59,,0.378,2.494,0.002,0.378
60,,0.338,2.498,0.005,0.338
61,,0.384,2.459,0.002,0.384
62,,0.389,2.534,0.006,0.389
