step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.266,1.659,0.008,0.266
2,,0.262,1.63,0.011,0.262
3,,0.265,1.645,0.014,0.265
4,,0.248,1.647,0.009,0.248
5,,0.265,1.663,0.026,0.265
6,,0.259,1.624,0.013,0.259
7,,0.248,1.602,0.009,0.248
8,,0.22,1.615,0.006,0.22
9,,0.263,1.624,0.019,0.263
10,,0.254,1.619,0.014,0.254
11,,0.248,1.659,0.023,0.248
12,,0.237,1.662,0.013,0.237
13,,0.234,1.651,0.012,0.234
14,,0.293,1.688,0.017,0.293
15,,0.27,1.698,0.009,0.27
16,,0.259,1.691,0.019,0.259
17,,0.28,1.754,0.018,0.28
18,,0.296,1.717,0.009,0.296
19,,0.324,1.731,0.016,0.324
20,,0.277,1.777,0.02,0.277
21,,0.327,1.856,0.016,0.327
22,,0.269,1.859,0.02,0.269
23,,0.279,1.874,0.013,0.279
24,,0.291,1.907,0.011,0.291
25,0.274,0.334,1.92,0.012,0.334
26,,0.307,1.952,0.009,0.307
27,,0.319,1.97,0.014,0.319
28,,0.301,2.015,0.014,0.301
29,,0.314,2.038,0.021,0.314
30,,0.305,2.076,0.015,0.305
31,,0.317,2.048,0.01,0.317
32,,0.342,2.081,0.023,0.342
33,,0.326,2.072,0.014,0.326
34,,0.354,2.11,0.014,0.354
35,,0.343,2.099,0.011,0.343
36,,0.339,2.139,0.012,0.339
37,,0.35,2.154,0.017,0.35
38,,0.343,2.172,0.014,0.343
39,,0.312,2.201,0.014,0.312
40,,0.355,2.175,0.012,0.355
41,,0.34,2.238,0.007,0.34
42,,0.398,2.219,0.015,0.398
43,,0.332,2.281,0.024,0.332
44,,0.379,2.244,0.02,0.379
45,,0.366,2.239,0.015,0.366
46,,0.392,2.308,0.019,0.392
47,,0.326,2.265,0.016,0.326
48,,0.299,2.305,0.013,0.299
49,,0.342,2.295,0.022,0.342
50,0.31,0.343,2.364,0.019,0.343
51,,0.38,2.3,0.018,0.38
52,,0.391,2.364,0.023,0.391
53,,0.344,2.416,0.025,0.344
54,,0.376,2.34,0.032,0.376
55,,0.39,2.309,0.024,0.39
56,,0.329,2.43,0.028,0.329
57,,0.355,2.37,0.031,0.355
58,,0.41,2.333,0.019,0.41
59,,0.351,2.356,0.021,0.351
60,,0.329,2.376,0.028,0.329
61,,0.379,2.342,0.024,0.379
