step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.266,1.659,0.008,0.266
2,,0.262,1.63,0.01,0.262
3,,0.263,1.659,0.013,0.263
4,,0.248,1.629,0.01,0.248
5,,0.261,1.662,0.022,0.261
6,,0.242,1.595,0.011,0.242
7,,0.242,1.638,0.012,0.242
8,,0.227,1.591,0.009,0.227
9,,0.255,1.638,0.024,0.255
10,,0.245,1.609,0.008,0.245
11,,0.259,1.652,0.021,0.259
12,,0.241,1.656,0.011,0.241
13,,0.248,1.691,0.02,0.248
14,,0.287,1.668,0.017,0.287
15,,0.257,1.686,0.016,0.257
16,,0.277,1.699,0.018,0.277
17,,0.293,1.773,0.012,0.293
18,,0.28,1.72,0.01,0.28
19,,0.341,1.756,0.01,0.341
20,,0.295,1.812,0.027,0.295
21,,0.328,1.834,0.008,0.328
22,,0.282,1.855,0.016,0.282
23,,0.287,1.87,0.019,0.287
24,,0.298,1.906,0.01,0.298
25,0.276,0.334,1.938,0.017,0.334
26,,0.311,1.963,0.01,0.311
27,,0.306,1.97,0.012,0.306
28,,0.295,1.984,0.013,0.295
29,,0.312,2.0,0.015,0.312
30,,0.308,2.013,0.012,0.308
31,,0.308,2.009,0.013,0.308
32,,0.325,2.092,0.029,0.325
33,,0.339,2.095,0.015,0.339
34,,0.358,2.094,0.014,0.358
35,,0.334,2.059,0.006,0.334
36,,0.328,2.111,0.02,0.328
37,,0.375,2.136,0.013,0.375
38,,0.339,2.165,0.016,0.339
39,,0.312,2.213,0.02,0.312
40,,0.347,2.21,0.014,0.347
41,,0.341,2.198,0.008,0.341
42,,0.374,2.223,0.013,0.374
43,,0.35,2.334,0.028,0.35
44,,0.391,2.287,0.013,0.391
45,,0.347,2.291,0.015,0.347
46,,0.384,2.424,0.015,0.384
47,,0.323,2.404,0.012,0.323
48,,0.302,2.479,0.015,0.302
49,,0.344,2.53,0.014,0.344
50,0.313,0.341,2.738,0.018,0.341
51,,0.387,2.517,0.016,0.387
52,,0.382,2.6,0.017,0.382
53,,0.345,2.73,0.021,0.345
54,,0.373,2.584,0.026,0.373
55,,0.393,2.658,0.021,0.393
56,,0.356,2.842,0.027,0.356
57,,0.373,2.838,0.03,0.373
58,,0.398,2.777,0.02,0.398
59,,0.36,2.756,0.019,0.36
60,,0.331,2.784,0.028,0.331
61,,0.385,2.7,0.031,0.385
