step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.266,1.659,0.009,0.266
2,,0.262,1.63,0.01,0.262
3,,0.258,1.623,0.011,0.258
4,,0.242,1.669,0.017,0.242
5,,0.28,1.649,0.023,0.28
6,,0.25,1.632,0.009,0.25
7,,0.236,1.65,0.016,0.236
8,,0.226,1.636,0.01,0.226
9,,0.249,1.626,0.02,0.249
10,,0.248,1.622,0.015,0.248
11,,0.234,1.61,0.018,0.234
12,,0.238,1.682,0.015,0.238
13,,0.24,1.712,0.018,0.24
14,,0.296,1.702,0.021,0.296
15,,0.274,1.677,0.014,0.274
16,,0.267,1.689,0.016,0.267
17,,0.274,1.781,0.015,0.274
18,,0.279,1.745,0.012,0.279
19,,0.329,1.778,0.01,0.329
20,,0.301,1.832,0.02,0.301
21,,0.32,1.863,0.014,0.32
22,,0.283,1.878,0.023,0.283
23,,0.284,1.861,0.016,0.284
24,,0.298,1.913,0.015,0.298
25,0.274,0.351,1.916,0.018,0.351
26,,0.316,1.953,0.015,0.316
27,,0.313,1.946,0.014,0.313
28,,0.3,1.971,0.015,0.3
29,,0.326,1.979,0.015,0.326
30,,0.293,2.012,0.01,0.293
31,,0.305,2.005,0.011,0.305
32,,0.332,2.059,0.025,0.332
33,,0.315,2.053,0.014,0.315
34,,0.349,2.07,0.013,0.349
35,,0.33,2.078,0.01,0.33
36,,0.327,2.094,0.017,0.327
37,,0.353,2.099,0.013,0.353
38,,0.339,2.099,0.016,0.339
39,,0.308,2.152,0.018,0.308
40,,0.332,2.14,0.018,0.332
41,,0.345,2.131,0.01,0.345
42,,0.38,2.111,0.015,0.38
43,,0.335,2.171,0.024,0.335
44,,0.394,2.14,0.012,0.394
45,,0.336,2.162,0.017,0.336
46,,0.37,2.192,0.012,0.37
47,,0.312,2.171,0.014,0.312
48,,0.299,2.189,0.017,0.299
49,,0.338,2.235,0.014,0.338
50,0.303,0.327,2.291,0.012,0.327
51,,0.363,2.231,0.011,0.363
52,,0.389,2.286,0.017,0.389
53,,0.335,2.399,0.02,0.335
54,,0.366,2.312,0.021,0.366
55,,0.405,2.314,0.018,0.405
56,,0.33,2.396,0.014,0.33
57,,0.359,2.375,0.021,0.359
58,,0.384,2.337,0.011,0.384
59,,0.348,2.338,0.012,0.348
60,,0.325,2.364,0.018,0.325
61,,0.373,2.326,0.019,0.373
62,,0.386,2.344,0.017,0.386
