task,family,gold_len_min,gold_len_max,mean_firings,all_reach_100
chemistry-mix,chemistry-mix,18,24,6.0,True
chemistry-mix-paint-secondary-color,chemistry-mix,11,15,5.0,True
chemistry-mix-paint-tertiary-color,chemistry-mix,20,30,8.0,True
power-component,electricity,9,15,4.7,True
power-component-renewable-vs-nonrenewable-energy,electricity,15,30,5.3,True
test-conductivity,electricity,22,45,5.7,True
test-conductivity-of-unknown-substances,electricity,25,39,6.3,True
find-animal,find-thing,12,16,5.0,True
find-living-thing,find-thing,10,12,4.7,True
find-non-living-thing,find-thing,5,7,3.7,True
find-plant,find-thing,8,12,4.7,True
mendelian-genetics-known-plant,genetics,123,130,25.0,True
mendelian-genetics-unknown-plant,genetics,126,130,27.3,True
inclined-plane-determine-angle,inclined-plane,60,172,11.0,True
inclined-plane-friction-named-surfaces,inclined-plane,53,71,11.0,True
inclined-plane-friction-unnamed-surfaces,inclined-plane,54,202,10.3,True
identify-life-stages-1,life-stages,27,30,7.3,True
identify-life-stages-2,life-stages,10,16,5.3,True
lifespan-longest-lived,lifespan,6,8,3.0,True
lifespan-longest-lived-then-shortest-lived,lifespan,7,9,4.0,True
lifespan-shortest-lived,lifespan,6,8,3.0,True
boil,matter-state,41,143,8.0,True
change-the-state-of-matter-of,matter-state,20,27,4.7,True
freeze,matter-state,27,64,4.7,True
melt,matter-state,27,41,5.7,True
grow-fruit,plant-growth,67,85,17.3,True
grow-plant,plant-growth,66,68,10.0,True
measure-melting-point-known-substance,thermal-measure,21,29,10.7,True
measure-melting-point-unknown-substance,thermal-measure,92,94,8.0,True
use-thermometer,thermal-measure,18,24,9.7,True
