task,max_variations,n_train,n_dev,n_test,gold_len_min,gold_len_max,gold_lens,final_scores,done_all,subgoal_firings,n_errors,secs
boil,30,14,7,9,41,143,"[81, 41, 143]","[100, 100, 100]",True,"[8, 6, 10]",0,15.5
change-the-state-of-matter-of,30,14,7,9,20,27,"[26, 20, 27]","[100, 100, 100]",True,"[4, 6, 4]",0,7.0
chemistry-mix,32,16,8,8,18,24,"[24, 18, 22]","[100, 100, 100]",True,"[5, 6, 7]",0,4.0
chemistry-mix-paint-secondary-color,36,18,9,9,11,15,"[11, 15, 15]","[100, 100, 100]",True,"[5, 5, 5]",0,5.5
chemistry-mix-paint-tertiary-color,36,18,9,9,20,30,"[30, 24, 20]","[100, 100, 100]",True,"[8, 8, 8]",0,9.9
find-animal,300,150,75,75,12,16,"[16, 12, 14]","[100, 100, 100]",True,"[5, 5, 5]",0,2.8
find-living-thing,300,150,75,75,10,12,"[10, 12, 10]","[100, 100, 100]",True,"[4, 5, 5]",0,2.2
find-non-living-thing,300,150,75,75,5,7,"[7, 7, 5]","[100, 100, 100]",True,"[4, 4, 3]",0,1.3
find-plant,300,150,75,75,8,12,"[12, 8, 12]","[100, 100, 100]",True,"[4, 5, 5]",0,2.5
freeze,30,14,7,9,27,64,"[28, 64, 27]","[100, 100, 100]",True,"[5, 4, 5]",0,9.3
grow-fruit,126,62,31,33,67,85,"[85, 67, 81]","[100, 100, 100]",True,"[20, 14, 18]",0,21.2
grow-plant,126,62,31,33,66,68,"[68, 68, 66]","[100, 100, 100]",True,"[10, 10, 10]",0,11.2
identify-life-stages-1,14,6,3,5,27,30,"[29, 27, 30]","[100, 100, 100]",True,"[8, 6, 8]",0,3.1
identify-life-stages-2,10,4,2,4,10,16,"[12, 16, 10]","[100, 100, 100]",True,"[5, 7, 4]",0,3.2
inclined-plane-determine-angle,168,84,42,42,60,172,"[60, 99, 172]","[100, 100, 100]",True,"[11, 11, 11]",0,14.5
inclined-plane-friction-named-surfaces,1386,692,346,348,53,71,"[53, 71, 64]","[100, 100, 100]",True,"[11, 11, 11]",0,8.4
inclined-plane-friction-unnamed-surfaces,162,80,40,42,54,202,"[86, 54, 202]","[100, 100, 100]",True,"[11, 10, 10]",0,14.3
lifespan-longest-lived,125,62,31,32,6,8,"[8, 6, 6]","[100, 100, 100]",True,"[3, 3, 3]",0,1.0
lifespan-longest-lived-then-shortest-lived,125,62,31,32,7,9,"[9, 7, 7]","[100, 100, 100]",True,"[4, 4, 4]",0,1.1
lifespan-shortest-lived,125,62,31,32,6,8,"[8, 8, 6]","[100, 100, 100]",True,"[3, 3, 3]",0,1.2
measure-melting-point-known-substance,436,218,109,109,21,29,"[29, 21, 27]","[100, 100, 100]",True,"[10, 11, 11]",0,6.9
measure-melting-point-unknown-substance,300,150,75,75,92,94,"[94, 92, 94]","[100, 100, 100]",True,"[7, 6, 11]",0,27.8
melt,30,14,7,9,27,41,"[27, 35, 41]","[100, 100, 100]",True,"[5, 6, 6]",0,9.0
mendelian-genetics-known-plant,120,60,30,30,123,130,"[125, 123, 130]","[100, 100, 100]",True,"[27, 19, 29]",0,110.3
mendelian-genetics-unknown-plant,480,240,120,120,126,130,"[126, 130, 130]","[100, 100, 100]",True,"[25, 29, 28]",0,119.1
power-component,20,10,5,5,9,15,"[15, 9, 15]","[100, 100, 100]",True,"[5, 4, 5]",0,3.3
power-component-renewable-vs-nonrenewable-energy,20,10,5,5,15,30,"[15, 30, 26]","[100, 100, 100]",True,"[6, 5, 5]",0,5.8
test-conductivity,900,450,225,225,22,45,"[22, 45, 27]","[100, 100, 100]",True,"[4, 6, 7]",0,6.6
test-conductivity-of-unknown-substances,600,300,150,150,25,39,"[25, 39, 35]","[100, 100, 100]",True,"[6, 7, 6]",0,6.1
use-thermometer,540,270,135,135,18,24,"[22, 18, 24]","[100, 100, 100]",True,"[10, 9, 10]",0,3.0
