method,scope,contrast_hi,contrast_lo,delta_contrast,ci_lo,ci_hi,excludes_0
turn_ppo,pooled,3+4,1,-0.0641233984941042,-0.08025183179623041,-0.04779549670725674,True
turn_ppo,musique,3+4,2,0.03642995241947647,0.011601721321373883,0.06285108290653028,True
turn_ppo,2wiki,4,2,-0.061301344965467075,-0.08426039704592757,-0.037493443479604475,True
hcapo_paper,pooled,3+4,1,-0.03595085700008499,-0.0526342754288249,-0.017739509286710732,True
hcapo_paper,musique,3+4,2,0.029397084835936324,0.0039015430621738736,0.05523140303002213,True
hcapo_paper,2wiki,4,2,-0.0320029080334423,-0.05549182112927071,-0.005513917195005499,True
hcapo_ans,pooled,3+4,1,0.043867028076065406,0.027171145257978823,0.05855112003279579,True
hcapo_ans,musique,3+4,2,0.036538962552619667,0.010856225644876035,0.06321231620323213,True
hcapo_ans,2wiki,4,2,0.07940385314431114,0.056504078297452486,0.10191264743753753,True
hcapo_lift,pooled,3+4,1,-0.09570371427941554,-0.11253727532380554,-0.07813993527749187,True
hcapo_lift,musique,3+4,2,0.012743216004607233,-0.01414401658682714,0.03673406129403297,False
hcapo_lift,2wiki,4,2,-0.12424572882588147,-0.14753237969242775,-0.10159839387157034,True
hcapo_lift_ans,pooled,3+4,1,-0.0024250787608640634,-0.019947820229588003,0.014329074619156234,False
hcapo_lift_ans,musique,3+4,2,0.0018696266231540346,-0.024340948022337525,0.026288184247509293,False
hcapo_lift_ans,2wiki,4,2,0.03972373682297353,0.017611822701266055,0.06450157775233421,True
