method,H_gold,EM,med_turns,med_search,cap_fail
floor,1,0.40548132922233643,2.0,1.0,0.030318602261048305
floor,2,0.2742516257322513,2.0,1.0,0.08695652173913043
floor,3,0.042105263157894736,2.0,1.0,0.225
floor,4,0.4005069708491762,1.0,0.0,0.1802915082382763
grpo,1,0.5459061322370675,4.0,3.0,0.45344295991778005
grpo,2,0.44483258988552693,4.0,3.0,0.555167410114473
grpo,3,0.1013157894736842,4.0,3.0,0.8986842105263158
grpo,4,0.4448669201520912,4.0,3.0,0.5551330798479087
turn_ppo,1,0.5364850976361768,2.0,1.0,0.0591640972935937
turn_ppo,2,0.40264416617402055,3.0,2.0,0.19180953404632664
turn_ppo,3,0.06447368421052632,3.0,2.0,0.45789473684210524
turn_ppo,4,0.36248415716096327,4.0,3.0,0.4803548795944233
hcapo_paper,1,0.5118876327509421,4.0,3.0,0.41894484412470023
hcapo_paper,2,0.3837802977374106,4.0,3.0,0.5644649862954801
hcapo_paper,3,0.0881578947368421,4.0,3.0,0.8381578947368421
hcapo_paper,4,0.3612167300380228,4.0,3.0,0.6200887198986058
hcapo_ans,1,0.5354916067146283,4.0,3.0,0.35584104145255224
hcapo_ans,2,0.41183425592518946,4.0,3.0,0.5271134519266942
hcapo_ans,3,0.1118421052631579,4.0,3.0,0.868421052631579
hcapo_ans,4,0.4838403041825095,4.0,3.0,0.4670468948035488
hcapo_lift,1,0.5282288454950326,4.0,3.0,0.2883179170948955
hcapo_lift,2,0.41124308056107917,3.0,2.0,0.3624442414145214
hcapo_lift,3,0.08421052631578947,4.0,3.0,0.6789473684210526
hcapo_lift,4,0.3083016476552598,4.0,3.0,0.5564005069708492
hcapo_lift_ans,1,0.5332648167180541,4.0,3.0,0.465775950668037
hcapo_lift_ans,2,0.40667490729295425,4.0,3.0,0.5884882033643253
hcapo_lift_ans,3,0.05131578947368421,4.0,3.0,0.9486842105263158
hcapo_lift_ans,4,0.438212927756654,4.0,3.0,0.5614702154626109
