method,metric,H_gold,median
floor,turns,1,2.0
floor,turns,2,2.0
floor,turns,3,2.0
floor,turns,4,1.0
grpo,turns,1,4.0
grpo,turns,2,4.0
grpo,turns,3,4.0
grpo,turns,4,4.0
turn_ppo,turns,1,2.0
turn_ppo,turns,2,3.0
turn_ppo,turns,3,3.0
turn_ppo,turns,4,4.0
hcapo_paper,turns,1,4.0
hcapo_paper,turns,2,4.0
hcapo_paper,turns,3,4.0
hcapo_paper,turns,4,4.0
hcapo_ans,turns,1,4.0
hcapo_ans,turns,2,4.0
hcapo_ans,turns,3,4.0
hcapo_ans,turns,4,4.0
hcapo_lift,turns,1,4.0
hcapo_lift,turns,2,3.0
hcapo_lift,turns,3,4.0
hcapo_lift,turns,4,4.0
hcapo_lift_ans,turns,1,4.0
hcapo_lift_ans,turns,2,4.0
hcapo_lift_ans,turns,3,4.0
hcapo_lift_ans,turns,4,4.0
floor,n_search_calls,1,1.0
floor,n_search_calls,2,1.0
floor,n_search_calls,3,1.0
floor,n_search_calls,4,0.0
grpo,n_search_calls,1,3.0
grpo,n_search_calls,2,3.0
grpo,n_search_calls,3,3.0
grpo,n_search_calls,4,3.0
turn_ppo,n_search_calls,1,1.0
turn_ppo,n_search_calls,2,2.0
turn_ppo,n_search_calls,3,2.0
turn_ppo,n_search_calls,4,3.0
hcapo_paper,n_search_calls,1,3.0
hcapo_paper,n_search_calls,2,3.0
hcapo_paper,n_search_calls,3,3.0
hcapo_paper,n_search_calls,4,3.0
hcapo_ans,n_search_calls,1,3.0
hcapo_ans,n_search_calls,2,3.0
hcapo_ans,n_search_calls,3,3.0
hcapo_ans,n_search_calls,4,3.0
hcapo_lift,n_search_calls,1,3.0
hcapo_lift,n_search_calls,2,2.0
hcapo_lift,n_search_calls,3,3.0
hcapo_lift,n_search_calls,4,3.0
hcapo_lift_ans,n_search_calls,1,3.0
hcapo_lift_ans,n_search_calls,2,3.0
hcapo_lift_ans,n_search_calls,3,3.0
hcapo_lift_ans,n_search_calls,4,3.0
