split,group,method,EM
hotpot,bridge,floor,0.1938154782020953
hotpot,comparison,floor,0.5776731674512441
hotpot,bridge,grpo,0.4026698208854343
hotpot,comparison,grpo,0.6845998655010087
hotpot,bridge,turn_ppo,0.3480905711388983
hotpot,comparison,turn_ppo,0.6496301277740417
hotpot,bridge,hcapo_paper,0.3430212909766813
hotpot,comparison,hcapo_paper,0.6112979152656355
hotpot,bridge,hcapo_ans,0.3709023318688746
hotpot,comparison,hcapo_ans,0.6617350369872226
hotpot,bridge,hcapo_lift,0.36262250760392023
hotpot,comparison,hcapo_lift,0.660390047074647
hotpot,bridge,hcapo_lift_ans,0.37107130787428183
hotpot,comparison,hcapo_lift_ans,0.6664425016812374
popqa,head,floor,0.3961603139013453
popqa,tail,floor,0.29547048099845746
popqa,head,grpo,0.5517096412556054
popqa,tail,grpo,0.41144299537231804
popqa,head,turn_ppo,0.5410594170403588
popqa,tail,turn_ppo,0.40316926097321554
popqa,head,hcapo_paper,0.5147141255605381
popqa,tail,hcapo_paper,0.3840976020193521
popqa,head,hcapo_ans,0.5354540358744395
popqa,tail,hcapo_ans,0.3971392511569205
popqa,head,hcapo_lift,0.5339125560538116
popqa,tail,hcapo_lift,0.41508904781938016
popqa,head,hcapo_lift_ans,0.5294282511210763
popqa,tail,hcapo_lift_ans,0.41326602159584913
