method,turn_bin,success,n
grpo,≤6,1.0,32
grpo,7–8,1.0,34
grpo,9–12,1.0,28
grpo,13–20,1.0,12
grpo,>20,0.42857142857142855,28
gigpo,≤6,1.0,57
gigpo,7–8,1.0,42
gigpo,9–12,1.0,22
gigpo,13–20,1.0,7
gigpo,>20,0.0,6
turn_ppo,≤6,1.0,47
turn_ppo,7–8,1.0,49
turn_ppo,9–12,1.0,12
turn_ppo,13–20,1.0,11
turn_ppo,>20,0.6666666666666666,15
token_ppo,≤6,1.0,25
token_ppo,7–8,1.0,10
token_ppo,9–12,1.0,26
token_ppo,13–20,1.0,11
token_ppo,>20,0.4838709677419355,62
hcapo_buggy,≤6,1.0,36
hcapo_buggy,7–8,1.0,43
hcapo_buggy,9–12,1.0,20
hcapo_buggy,>20,0.15151515151515152,33
hcapo_paper,≤6,1.0,36
hcapo_paper,7–8,1.0,39
hcapo_paper,9–12,1.0,25
hcapo_paper,>20,0.09375,32
