method,traj_uid,turns,success,task_type
grpo,c499a496-8e55-4ca5-b655-85619f825d31,10,True,pick_two
grpo,0fea6a37-17ac-4156-8ed1-c414ae95fa04,15,True,pick_two
grpo,11e5e5c4-946d-417c-863e-2572087cf1f4,8,True,heat
grpo,52a3b5ec-8ad3-4dc7-9781-1bfac9046365,16,True,heat
grpo,63316cc5-e668-4ea7-bc89-c36783fce3dc,8,True,cool
grpo,dc069c87-336d-4c4c-bb25-83dc710d269d,10,True,heat
grpo,13b19fbf-d185-4f30-bc4d-fe4ceb5fb520,50,False,heat
grpo,35f0906c-807f-47ef-b523-de5351596c8b,5,True,pick_place
grpo,793805f2-df52-47fd-b229-5d8fb20d3daf,8,True,clean
grpo,687ab425-6e0e-44fe-8556-6b007f1f58b5,24,True,pick_two
grpo,724a0368-1a80-4caf-8579-b2817c9ae991,26,True,examine
grpo,c106ced4-8a4a-4cf2-a987-ee44650b0c8c,8,True,pick_place
grpo,6b2c3119-17d8-4fc9-bc4a-7179880e61a6,50,False,examine
grpo,9ec24d5c-b695-4b83-876d-97da4dfdf016,9,True,cool
grpo,22d3d7a3-7bb6-4ca4-ac81-0c481f9ec5c9,8,True,pick_two
grpo,654c6c34-bc05-4d1e-b148-3f96ce1605de,10,True,examine
grpo,d7e662e6-0276-4023-8ba9-767e06d409a2,5,True,cool
grpo,d011bc45-5c6b-4860-afe7-8c09c69c7e58,16,True,heat
grpo,afdbb545-4a44-49a4-a3ba-b29c6c19a81f,4,True,pick_place
grpo,0c90940b-0328-4e59-b3a7-bd31ba91f8a0,4,True,pick_place
grpo,f1de8ec4-f593-4680-9961-5248a32e4a23,10,True,examine
grpo,a23530c3-ecba-46c8-8d50-679eaa2d2e1c,9,True,pick_place
grpo,4b73e177-a7da-4e7a-a1bf-0aa8b5a1abf7,50,False,pick_place
grpo,6492f1bf-8f6d-40ee-bfc9-f0ff87a14961,9,True,cool
grpo,6940a6d1-e5a1-4aa1-89ea-94bd90b9721b,50,False,clean
grpo,cadd1b96-6ae0-4596-aa59-d4b83ed0bcc0,4,True,pick_place
grpo,61aa50ee-f10d-42ba-ac1d-e988f0889b51,7,True,clean
grpo,05d99dea-5068-466c-b246-755c4e59be0e,4,True,pick_place
grpo,f05e88ff-60ad-453e-bfb9-fb98f171130d,6,True,clean
grpo,8786e16b-6176-4f33-a876-4f1c8b6b052f,6,True,examine
grpo,e74c95de-58f8-4a8b-9578-b5481e7ceba2,7,True,clean
grpo,67746bc0-cb7c-4534-9f90-c9c957fba622,6,True,clean
grpo,46108b78-b3f1-4bbf-8df2-5a8f7c457ab6,7,True,clean
grpo,1bc6ed05-16e5-46ee-a8c8-019b42ecca4b,8,True,clean
grpo,ea3544e0-7140-417a-af7a-a5428eedb293,14,True,heat
grpo,af8cbf68-9f3b-40ca-8db4-90cf330f6098,5,True,pick_place
grpo,e418c7d3-a9b8-4bd6-8408-bab4ce88798c,44,True,examine
grpo,9b5d6f7d-e81e-4ba4-a3ba-e85516afb3b3,7,True,pick_place
grpo,43607d72-f4d2-491e-9c78-a714efdba493,11,True,heat
grpo,d13b8473-2fdc-4f6e-a124-7734b6a7b794,7,True,cool
grpo,c00ac14d-251d-4d21-b45c-b2a95353f7f5,13,True,heat
grpo,8ac5254c-fc31-47b4-9ebd-676f3afab155,4,True,pick_place
