method,step,val_success
token_ppo,0,0.461
token_ppo,5,0.672
token_ppo,10,0.773
token_ppo,15,0.664
token_ppo,20,0.586
token_ppo,25,0.633
token_ppo,30,0.594
token_ppo,35,0.547
token_ppo,40,0.75
token_ppo,45,0.836
token_ppo,50,0.852
token_ppo,55,0.828
token_ppo,60,0.672
token_ppo,65,0.844
token_ppo,70,0.75
token_ppo,75,0.906
token_ppo,80,0.836
token_ppo,85,0.82
token_ppo,90,0.758
token_ppo,95,0.758
token_ppo,100,0.695
token_ppo,105,0.781
token_ppo,110,0.859
token_ppo,115,0.75
token_ppo,120,0.789
token_ppo,125,0.773
token_ppo,130,0.789
token_ppo,135,0.891
token_ppo,140,0.898
token_ppo,145,0.773
token_ppo,150,0.859
turn_ppo,0,0.4609375
turn_ppo,5,0.6171875
turn_ppo,10,0.703125
turn_ppo,15,0.75
turn_ppo,20,0.6953125
turn_ppo,25,0.84375
turn_ppo,30,0.8515625
turn_ppo,35,0.8671875
turn_ppo,40,0.875
turn_ppo,45,0.8828125
turn_ppo,50,0.8515625
turn_ppo,55,0.859375
turn_ppo,60,0.9140625
turn_ppo,65,0.9296875
turn_ppo,70,0.9296875
turn_ppo,75,0.9296875
turn_ppo,80,0.890625
turn_ppo,85,0.9375
turn_ppo,90,0.9140625
turn_ppo,95,0.96875
turn_ppo,100,0.96875
turn_ppo,105,0.9453125
turn_ppo,110,0.9375
turn_ppo,115,0.9765625
turn_ppo,120,0.984375
turn_ppo,125,0.9375
turn_ppo,130,0.9609375
turn_ppo,135,0.96875
turn_ppo,140,0.9375
turn_ppo,145,0.9609375
grpo,0,0.3828125
grpo,5,0.5
grpo,10,0.6015625
grpo,15,0.5703125
grpo,20,0.546875
grpo,25,0.734375
grpo,30,0.7421875
grpo,35,0.734375
grpo,40,0.7734375
grpo,45,0.8046875
grpo,50,0.6875
grpo,55,0.765625
grpo,60,0.828125
grpo,65,0.828125
grpo,70,0.875
grpo,75,0.8046875
grpo,80,0.8515625
grpo,85,0.8671875
grpo,90,0.875
grpo,95,0.9140625
grpo,100,0.8359375
grpo,105,0.8203125
grpo,110,0.8359375
grpo,115,0.8515625
grpo,120,0.8203125
grpo,125,0.8515625
grpo,130,0.84375
grpo,135,0.9375
grpo,140,0.890625
grpo,145,0.84375
grpo,150,0.890625
grpo,155,0.8828125
grpo,160,0.8515625
grpo,165,0.859375
grpo,170,0.84375
grpo,175,0.828125
grpo,180,0.890625
grpo,185,0.9375
grpo,190,0.8828125
grpo,195,0.875
grpo,200,0.90625
grpo,205,0.890625
grpo,210,0.8671875
grpo,215,0.90625
grpo,220,0.890625
grpo,225,0.8671875
grpo,230,0.8984375
grpo,235,0.890625
grpo,240,0.921875
grpo,245,0.921875
grpo,250,0.9296875
grpo,255,0.90625
grpo,260,0.953125
grpo,265,0.9609375
grpo,270,0.9140625
grpo,275,0.90625
grpo,280,0.875
grpo,285,0.875
grpo,290,0.921875
grpo,295,0.9375
grpo,300,0.9296875
gigpo,0,0.3828125
gigpo,5,0.5078125
gigpo,10,0.75
gigpo,15,0.6953125
gigpo,20,0.7578125
gigpo,25,0.8359375
gigpo,30,0.7890625
gigpo,35,0.8828125
gigpo,40,0.796875
gigpo,45,0.875
gigpo,50,0.890625
gigpo,55,0.921875
gigpo,60,0.890625
gigpo,65,0.890625
gigpo,70,0.890625
gigpo,75,0.8984375
gigpo,80,0.859375
gigpo,85,0.9375
gigpo,90,0.921875
gigpo,95,0.953125
gigpo,100,0.921875
gigpo,105,0.890625
gigpo,110,0.9375
gigpo,115,0.9765625
gigpo,120,0.953125
gigpo,125,0.9453125
gigpo,130,0.9765625
gigpo,135,0.9765625
gigpo,140,0.9609375
gigpo,145,0.9765625
gigpo,150,0.96875
gigpo,155,0.96875
gigpo,160,0.953125
gigpo,165,0.9609375
gigpo,170,0.9765625
gigpo,175,0.9765625
gigpo,180,0.9765625
gigpo,185,0.9921875
gigpo,190,0.9609375
gigpo,195,0.9765625
gigpo,200,1.0
gigpo,205,0.984375
gigpo,210,0.9765625
gigpo,215,0.9921875
gigpo,220,1.0
gigpo,225,1.0
gigpo,230,1.0
gigpo,235,0.9921875
gigpo,240,0.9921875
gigpo,245,0.9921875
gigpo,250,0.9921875
gigpo,255,0.984375
gigpo,260,0.984375
gigpo,265,0.9921875
gigpo,270,0.984375
gigpo,275,0.9921875
gigpo,280,0.9765625
gigpo,285,0.984375
gigpo,290,0.984375
gigpo,295,0.9921875
hcapo,0,0.383
hcapo,5,0.602
hcapo,10,0.57
hcapo,15,0.539
hcapo,20,0.562
hcapo,25,0.555
hcapo,30,0.438
hcapo,35,0.523
hcapo,40,0.555
hcapo,45,0.602
hcapo,50,0.562
hcapo,55,0.641
hcapo,60,0.672
hcapo,65,0.742
hcapo,70,0.727
hcapo,75,0.648
hcapo,80,0.641
hcapo,85,0.766
hcapo,90,0.805
hcapo,95,0.789
hcapo,100,0.781
hcapo,105,0.82
hcapo,110,0.758
hcapo,115,0.82
hcapo,120,0.781
hcapo,125,0.711
hcapo,130,0.789
hcapo,135,0.781
hcapo,140,0.852
hcapo,145,0.922
hcapo,150,0.844
hcapo_ans,0,0.3828125
hcapo_ans,5,0.5
hcapo_ans,10,0.5703125
hcapo_ans,15,0.625
hcapo_ans,20,0.46875
hcapo_ans,25,0.625
hcapo_ans,30,0.53125
hcapo_ans,35,0.578125
hcapo_ans,40,0.6171875
hcapo_ans,45,0.6171875
hcapo_ans,50,0.6328125
hcapo_ans,55,0.6171875
hcapo_ans,60,0.671875
hcapo_ans,65,0.7265625
hcapo_ans,70,0.6640625
hcapo_ans,75,0.6640625
hcapo_ans,80,0.6640625
hcapo_ans,85,0.8125
hcapo_ans,90,0.7890625
hcapo_ans,95,0.828125
hcapo_ans,100,0.7578125
hcapo_ans,105,0.78125
hcapo_ans,110,0.7578125
hcapo_ans,115,0.7734375
hcapo_ans,120,0.8203125
hcapo_ans,125,0.7578125
hcapo_ans,130,0.84375
hcapo_ans,135,0.8515625
hcapo_ans,140,0.828125
hcapo_ans,145,0.859375
